timestamp,none:startupDurationMs,splunk-otel:startupDurationMs,cpu:text:startupDurationMs,none:minHeapUsed,splunk-otel:minHeapUsed,cpu:text:minHeapUsed,none:maxHeapUsed,splunk-otel:maxHeapUsed,cpu:text:maxHeapUsed,none:totalAllocatedMB,splunk-otel:totalAllocatedMB,cpu:text:totalAllocatedMB,none:totalGCTime,splunk-otel:totalGCTime,cpu:text:totalGCTime,none:maxThreadContextSwitchRate,splunk-otel:maxThreadContextSwitchRate,cpu:text:maxThreadContextSwitchRate,none:iterationAvg,splunk-otel:iterationAvg,cpu:text:iterationAvg,none:iterationP95,splunk-otel:iterationP95,cpu:text:iterationP95,none:requestAvg,splunk-otel:requestAvg,cpu:text:requestAvg,none:requestP95,splunk-otel:requestP95,cpu:text:requestP95,none:netReadAvg,splunk-otel:netReadAvg,cpu:text:netReadAvg,none:netWriteAvg,splunk-otel:netWriteAvg,cpu:text:netWriteAvg,none:peakThreadCount,splunk-otel:peakThreadCount,cpu:text:peakThreadCount,none:averageCpuUser,splunk-otel:averageCpuUser,cpu:text:averageCpuUser,none:maxCpuUser,splunk-otel:maxCpuUser,cpu:text:maxCpuUser,none:averageCpuSystem,splunk-otel:averageCpuSystem,cpu:text:averageCpuSystem,none:maxCpuSystem,splunk-otel:maxCpuSystem,cpu:text:maxCpuSystem,none:averageMachineCpuTotal,splunk-otel:averageMachineCpuTotal,cpu:text:averageMachineCpuTotal,none:runDurationMs,splunk-otel:runDurationMs,cpu:text:runDurationMs,none:gcPauseMs,splunk-otel:gcPauseMs,cpu:text:gcPauseMs,none:throughputAvg,splunk-otel:throughputAvg,cpu:text:throughputAvg
1654876787,20184,21840,21769,42605568,59303560,61098664,202783232,187304312,237234008,2241.0114364624023,4803.976020812988,11972.003005981445,139260772,265382926,488049203,28421.95,21571.172,21799.6,67.15271563458836,68.27259332094097,67.56262189023502,89.52337714999999,96.05738840000001,99.31986889999997,9.390974820588266,12.252962623764676,12.701856564705945,29.55416314999999,36.941476149999986,38.421766199999986,3017484,3205425,3227056,4601988,41800067,41903448,53,63,68,0.46718755,0.4985256,0.49180716,0.6005025,0.5862944,0.57894737,0.071330935,0.09242833,0.10562434,0.10714286,0.12128713,0.13895781,0.836071,0.88617307,0.8842701,23179,23211,23228,139,265,488,879.4463627313626,867.9278267512952,876.0298062619797
1654877129,13888,21770,21765,42984456,58961856,59881880,139766432,198508032,241013280,2345.550796508789,4795.127815246582,12356.976356506348,163711177,307953922,344130762,22273.463,21518.53,23019.56,66.43675680329407,67.20688337599981,66.78468082211738,84.57267899999998,94.64416244999988,92.3338453,8.349179365000012,11.479221834823496,10.99083896282359,25.364460599999983,34.51778209999999,32.88269114999999,3149490,3247980,3204556,4809936,42244994,41966108,56,65,64,0.48268378,0.4910096,0.48801968,0.5964912,0.5833333,0.57281554,0.07108489,0.091401026,0.10213814,0.101265825,0.1225,0.14070351,0.86082,0.8654276,0.8780001,22668,23177,22483,163,307,344,892.3246587087272,880.0217793173608,884.9036343364703
1654877466,13861,20755,21756,40190784,58435072,59803824,184559568,211078664,240944288,2307.758499145508,4916.678733825684,14699.6724319458,233503662,224493546,312832121,23008.795,21881.582,21797.701,66.446940819412,66.38021299011733,67.02161949847043,87.03267499999995,90.76903295,94.675009,8.103119229529444,10.585536851117622,11.512137703117581,23.858081449999972,31.160324099999972,34.279737149999995,3366958,3189129,3270386,5172864,41726206,42189084,54,62,64,0.50303066,0.47112072,0.47419348,0.5949367,0.5897436,0.6075949,0.07621642,0.08995842,0.09786101,0.10152284,0.12405063,0.13930348,0.8842628,0.8703484,0.8477716,22421,22266,23834,233,224,312,890.1483826186002,892.3025787259146,882.3829249757131
1654877803,12874,21842,21679,41452680,59831296,61641056,151510016,177581568,248820032,2304.7325592041016,4680.321075439453,14971.170608520508,179038917,276335544,387149573,21669.531,21391.37,22172.996,66.38793041411773,66.92665580211779,67.00081720882336,85.62901,93.94844674999999,94.5296596,8.510153397999963,12.2220977970588,11.986327312411813,25.709742,35.80600699999997,35.59978054999999,3067188,3533636,3466962,4700739,46024998,45027584,51,63,69,0.4755616,0.5130847,0.49957561,0.59193957,0.59600997,0.59753084,0.077585466,0.09321203,0.10221931,0.10659899,0.1175,0.12658228,0.8632828,0.90113604,0.88415074,22399,22492,23223,179,276,387,892.183855935394,882.9464228565068,884.2428229897865
1654878142,13969,20765,21682,42871808,58568904,60789760,167652352,186287984,242200576,2247.0186767578125,4834.843124389648,15070.377899169922,187750949,276594576,393662219,23176.941,21467.285,22272.41,66.68062737611773,67.60599957270601,66.80169821411748,87.17104869999999,93.50688369999996,91.98912709999996,8.493322009000002,11.427995841411741,10.92289990311766,25.529850499999995,33.74065029999996,32.86166614999999,3368962,3182670,3219144,5123898,41625587,42060354,53,64,65,0.5032509,0.4889758,0.47058716,0.60858583,0.59045225,0.5794872,0.077655524,0.092790455,0.10067564,0.10050251,0.1209068,0.13366337,0.8860935,0.8735569,0.8507143,22466,23221,23098,187,276,393,887.9432340802906,873.7824899628404,885.1867668816418
1654878481,12902,20715,21712,41376712,59878528,60578880,170653184,162732032,204590128,2307.926109313965,4807.115913391113,14751.232803344727,185925262,293400421,372083283,26377.95,20854.27,22370.178,66.40859347141172,69.16214033600008,66.49208652823538,85.23013544999999,101.92505284999994,93.14736139999998,8.335910117764728,12.939580314117704,12.261030060647027,25.994654099999995,39.568767749999985,34.747229399999995,3180274,3179094,3378660,4826408,41588870,43815552,51,62,65,0.46842003,0.47420368,0.50443876,0.58,0.5875,0.605,0.07421774,0.0893947,0.10213827,0.10799136,0.120300755,0.13895781,0.8465647,0.85348016,0.8948767,22362,24467,23175,185,293,372,892.3288866869889,854.8250902261422,885.7165878331144
1654878818,14025,20805,21669,42712064,58943168,60251840,193707008,165897920,225166144,2324.6836700439453,4736.820220947266,12281.27904510498,172910637,269168844,405678955,22162.936,30785.314,22297.152,66.2440393388236,66.45716371635324,67.12251955870599,86.78879484999999,89.99555589999997,95.06583364999997,8.187879006529425,11.190823585941137,11.682807333882389,25.911152549999994,32.57695604999999,34.61714579999999,3223896,3571252,3190112,4904946,46286924,41127203,52,59,65,0.47716463,0.49667543,0.48409748,0.5948718,0.5894207,0.57462686,0.07498437,0.10129434,0.105510876,0.103797466,0.1525,0.1356784,0.8491819,0.8984605,0.8860491,22334,22369,22437,172,269,405,892.767942726504,889.7530677318566,882.800682623156
1654879155,13904,20804,21720,42732808,57660416,60082752,162650616,187894496,233349184,2271.523681640625,4877.158592224121,14874.292610168457,180662824,283511466,326719522,22363.383,21549.156,22107.232,66.97683318364719,66.68921425882351,66.57514688329401,86.08008049999998,91.3667068,93.66279469999999,7.892281790176482,10.651580464058794,12.018519386117672,24.396888949999987,31.724738449999986,35.3100668,3181848,3537390,3247774,4835860,45695344,42131248,50,60,63,0.48391515,0.49517682,0.4836736,0.58208954,0.5858586,0.57800514,0.07971886,0.09106874,0.10637112,0.10552764,0.12405063,0.14105794,0.872032,0.87592393,0.8800361,22536,22490,22390,180,283,326,883.6152331115484,885.3508380651351,889.4478352091668
1654879494,12977,20762,22683,41978880,58759048,61177408,175148032,160799552,199013760,2358.3026733398438,4881.104064941406,14808.940231323242,197564839,235220904,394094930,22470.818,21910.195,22440.092,66.19263553647092,67.0456198243531,66.23176004188237,84.62921099999998,92.69087554999999,89.80346629999998,7.634515066588219,11.516625815000085,9.990983952882361,23.039005699999993,34.0519213,29.49833419999999,3066340,3233502,3504076,4660401,41710918,45386310,53,64,62,0.47323275,0.49013755,0.49754176,0.5891089,0.5879397,0.5735661,0.07278943,0.09311824,0.11064139,0.10769231,0.125,0.14141414,0.85016286,0.8753618,0.89522237,22477,23190,22518,197,235,425,894.4118262167191,882.1108066894772,894.94442752688
1654879834,13972,21935,21701,42164736,57885824,57181040,221471232,198961664,201512528,2332.689781188965,4745.822982788086,14882.110076904297,154869432,279611509,445547824,22015.979,21795.188,22887.723,66.38090276458833,66.96781121776483,67.34331895447072,88.44785375,94.75288779999991,95.122779,8.648055324411775,12.46342763147062,12.237932920176476,26.914707699999997,36.988613699999995,35.6909633,3081262,3273342,3219616,4706708,42578432,41471514,50,66,67,0.48342553,0.48371008,0.48982146,0.60913706,0.60913706,0.67321867,0.07501692,0.09274564,0.10069276,0.10406091,0.12373737,0.14004914,0.8575209,0.8694036,0.87942,22313,23201,23180,154,279,445,893.3647538363628,882.9536914416681,878.8273902203632
