timestamp,none:startupDurationMs,splunk-otel:startupDurationMs,profiler:startupDurationMs,none:minHeapUsed,splunk-otel:minHeapUsed,profiler:minHeapUsed,none:maxHeapUsed,splunk-otel:maxHeapUsed,profiler:maxHeapUsed,none:totalAllocatedMB,splunk-otel:totalAllocatedMB,profiler:totalAllocatedMB,none:totalGCTime,splunk-otel:totalGCTime,profiler:totalGCTime,none:maxThreadContextSwitchRate,splunk-otel:maxThreadContextSwitchRate,profiler:maxThreadContextSwitchRate,none:iterationAvg,splunk-otel:iterationAvg,profiler:iterationAvg,none:iterationP95,splunk-otel:iterationP95,profiler:iterationP95,none:requestAvg,splunk-otel:requestAvg,profiler:requestAvg,none:requestP95,splunk-otel:requestP95,profiler:requestP95,none:netReadAvg,splunk-otel:netReadAvg,profiler:netReadAvg,none:netWriteAvg,splunk-otel:netWriteAvg,profiler:netWriteAvg,none:peakThreadCount,splunk-otel:peakThreadCount,profiler:peakThreadCount,none:averageCpuUser,splunk-otel:averageCpuUser,profiler:averageCpuUser,none:maxCpuUser,splunk-otel:maxCpuUser,profiler:maxCpuUser,none:averageCpuSystem,splunk-otel:averageCpuSystem,profiler:averageCpuSystem,none:maxCpuSystem,splunk-otel:maxCpuSystem,profiler:maxCpuSystem,none:averageMachineCpuTotal,splunk-otel:averageMachineCpuTotal,profiler:averageMachineCpuTotal,none:runDurationMs,splunk-otel:runDurationMs,profiler:runDurationMs,none:gcPauseMs,splunk-otel:gcPauseMs,profiler:gcPauseMs,none:throughputAvg,splunk-otel:throughputAvg,profiler:throughputAvg
1652465783,19329,20748,21727,43333360,54987424,58686512,136998928,209714168,229221408,2375.032012939453,4813.803581237793,14602.809936523438,171598492,344021104,407505031,22754.855,23436.957,23946.332,66.08457484823522,67.07397653282369,66.53641760799994,82.71647549999997,91.99152774999997,90.80809099999989,6.863430818294096,9.631789644647077,9.895692018529463,21.527454999999986,30.218031649999983,29.559885949999995,3065814,3523262,3334536,4692824,45596638,42817998,51,60,64,0.4757273,0.5024234,0.4975249,0.58987343,0.60148513,0.5826972,0.073267795,0.09380812,0.11091854,0.10526316,0.1281407,0.14138818,0.8470736,0.8871867,0.8972455,22291,22612,22350,171,344,407,897.2818455789566,885.3997477381224,891.4335416568844
1652466117,12907,20853,21641,41876024,57931288,60987304,190841344,168881744,261389040,2316.675537109375,4871.629318237305,12362.663536071777,180153732,263534216,316155628,22575.37,22628.922,22494.354,66.16568955329417,66.4553621355294,67.08626903247045,85.25343385,88.38092909999996,96.2984323,7.630369296176466,9.873102114176474,11.376161866470529,23.13744779999999,30.167551049999993,35.42495954999998,3395506,3561206,3200414,5169190,46255926,41888860,51,62,66,0.50036114,0.51688385,0.4951148,0.5939086,0.581864,0.5843521,0.07767633,0.09313001,0.10214269,0.10152284,0.12755102,0.14105794,0.88162804,0.9050837,0.87552124,22288,22339,22552,180,263,316,894.9615924439796,891.3382273345088,881.9048208938685
1652466455,12856,20749,21756,42660464,59588264,58624480,227858944,186132880,234625496,2354.6953506469727,4829.579284667969,12202.931358337402,173226737,241197501,430877333,22567.217,25781.176,22923.414,66.527626883294,66.73120823647083,67.04021794952932,86.57773639999994,90.84958694999996,92.29406034999998,7.714486939764717,9.83698890158824,10.146864868705846,25.13906745,30.575360349999993,32.12764764999999,3087492,3471156,3555966,4681422,45126850,46550922,52,63,67,0.50165266,0.5022527,0.49700814,0.59445846,0.57583547,0.57537687,0.069993444,0.10107251,0.11373288,0.09774436,0.13032581,0.1439206,0.8728296,0.8987789,0.89711046,22359,22361,22440,173,241,430,891.1344908664555,888.1512845179553,883.2672418600589
1652466791,13866,20831,21743,42637312,59261904,59594080,170966016,211688240,240142560,2365.3267135620117,4863.6147537231445,14757.729934692383,160684552,236346791,306593833,23433.31,22469.967,22280.06,66.40518608682359,66.57181681188254,66.52477903058818,85.15868859999998,89.12305585,90.50757854999999,7.251306464294106,9.368508767823535,10.367196019588214,23.568410399999998,28.472089349999987,31.59684634999999,3056804,3571882,3480532,4642896,46372668,45053726,54,65,64,0.4780021,0.50879127,0.499423,0.5964467,0.59193957,0.57462686,0.073201425,0.093380116,0.10646486,0.09873418,0.12437811,0.14070351,0.8491096,0.89957863,0.88096905,22265,22277,23131,160,236,306,892.8820531878404,890.4223852619249,890.7437784838372
1652467129,12795,20833,21769,43054976,57416192,58634952,158334288,202416048,273151136,2374.9384765625,4959.949333190918,14706.953956604004,164130144,321771586,357414614,22787.605,22432.64,23163.135,66.44883371494146,67.04428339152956,67.02642878458855,85.63852805,93.9845991,93.47982744999993,7.805177103411707,10.045938727352985,10.504805090352946,23.727029249999987,32.08549614999999,32.420072949999984,3058524,3308644,3412456,4683096,43105638,43485988,54,61,66,0.48398164,0.505498,0.49511173,0.59090906,0.5949367,0.5862944,0.07448534,0.09776631,0.10644086,0.101265825,0.13032581,0.13853905,0.86449915,0.89793503,0.8843035,22359,22423,22434,164,321,357,891.613127601688,884.1178658868365,885.5583474234079
1652467465,13804,20884,20574,42773872,55730752,59916800,166926336,181323776,265942024,2361.8876190185547,4847.214546203613,15302.479858398438,225323934,255442196,388362843,23094.152,22436.838,22565.104,66.17849531870597,66.42308023011773,66.97180842776467,83.40038034999993,89.47001344999998,92.56469324999993,6.930274852470615,9.629368425823486,11.008208914647046,22.11711745,28.27924269999998,34.54210589999999,2923564,3488454,3240190,4444822,45176588,41771200,53,71,67,0.47472,0.5111048,0.4967755,0.5894207,0.6218274,0.6256281,0.07292606,0.09550422,0.10454874,0.10704961,0.1209068,0.15346535,0.84868425,0.89796966,0.88886166,22328,22276,22538,225,255,388,893.407495012416,890.8287937691451,885.2060093516509
1652467802,13845,21090,21758,42619904,60401904,60905472,155805696,173838632,249170928,2385.1655883789062,4949.3007888793945,15154.958618164062,193457129,270328728,371475329,23614.607,30961.756,22822.371,66.34077535329457,67.15497631835298,66.77691670294091,82.41642404999997,91.24138165,92.24488569999998,7.120033156882384,10.375846655294206,10.464742319764722,21.83786614999998,31.146662099999993,30.795470249999987,3245944,3238940,3437614,4936266,41942483,44444890,52,66,65,0.47521403,0.4575847,0.501605,0.5964912,0.5924051,0.63510394,0.07404602,0.09040131,0.10544827,0.11025641,0.12878788,0.13417721,0.8524382,0.8354591,0.8893801,22208,23155,22503,193,270,371,893.4944356941033,882.0844602594257,885.4553772077643
1652468139,13886,20607,21787,43334080,58309936,61349376,188200448,181228032,206726144,2368.2316360473633,4837.4501953125,14816.586112976074,189434595,246901250,495065117,23071.664,22216.584,25687.861,66.33102433917648,66.89496273223527,67.46421989188198,84.80084255,91.0493238,92.76132739999987,7.239244112647078,9.77598023364707,10.473388299647096,23.08903059999998,30.50288099999999,30.780420699999997,3082922,3474072,3263940,4674036,44980412,42469430,51,60,66,0.48107454,0.50597143,0.47189945,0.5964912,0.58524173,0.60453403,0.0759858,0.095454104,0.09755609,0.10576923,0.12628865,0.12944162,0.85738224,0.8957644,0.84782094,22266,22404,23160,189,246,522,894.6698669777575,886.6410841545135,877.8476775850605
1652468474,12870,20905,22115,41868288,58166992,60117656,193911808,198206104,255491672,2407.0982055664062,4943.765953063965,15312.600219726562,136026035,281215541,252233356,22937.324,26907.002,27743.002,66.87964544094115,66.49101595729425,66.5907386212943,84.66283279999999,89.87087079999999,91.30886954999986,7.547458685823527,9.53753077864703,10.356868828999943,24.06382545,28.88607125,32.101373749999986,3172176,3500194,3484890,4806884,45262072,44816308,51,61,65,0.48241004,0.4828889,0.4886793,0.5959596,0.5924051,0.580402,0.07514295,0.090739205,0.10516004,0.1043257,0.13417721,0.14786968,0.8593952,0.8752172,0.8711882,22389,22279,22438,136,281,252,887.1641387298012,891.8146886299785,891.0595158798559
1652468809,12817,20799,21725,42746296,57450208,59037136,184992256,203423640,271978576,2384.0541763305664,4846.812309265137,14750.375579833984,129488083,330497927,411601011,26134.533,28131.93,22291.35,66.28049405435294,67.23810479270612,67.04297620399977,83.47081859999997,92.73900275,94.72656034999997,6.991200560117631,10.247417264882317,11.010810452764732,20.993028949999996,31.62768225,34.5782804,3243504,3343746,3259804,4953182,43270790,42304748,52,62,68,0.48688525,0.48681557,0.47982606,0.5816327,0.59193957,0.59452736,0.076247506,0.09682395,0.09731613,0.11168831,0.13533835,0.13705584,0.8614156,0.8750753,0.8601913,22491,22508,23154,129,330,411,894.3885906775221,881.757237687516,882.0509990350415
